Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2008-01-02,87.75,87.8399,86.0,86.62,4303000.0,0.0,1.0,66.7071975921873,66.77553921114499,65.37685462026333,65.8481761303164,4303000.0
2008-01-03,86.93,87.64,86.74,86.98,3427900.0,0.0,1.0,66.08383688534293,66.62357603395208,65.93939964839117,66.12184668454076,3427900.0
2008-01-04,86.83,87.16,85.69,85.82,5393400.0,0.0,1.0,66.00781728694727,66.25868196165293,65.1411938652368,65.24001934315115,5393400.0
2008-01-07,86.3,86.3,82.17,82.87,9961800.0,0.0,1.0,65.6049134154503,65.6049134154503,62.46530400170975,62.997441190479336,9961800.0
2008-01-08,83.11,83.37,79.65,79.91,9810600.0,0.0,1.0,63.179888226628904,63.37753918245761,60.54961012213924,60.74726107796794,9810600.0
2008-01-09,79.72,80.43,77.81,80.3,10307100.0,0.0,1.0,60.602823841016196,61.142562989625354,59.15084951165919,61.043737511710994,10307100.0
2008-01-10,80.5,83.19,79.86,82.36,9411400.0,0.0,1.0,61.19577670850231,63.24070390534543,60.70925127877012,62.60974123866149,9411400.0
2008-01-11,81.0,81.78,80.0,80.52,6556600.0,0.0,1.0,61.57587470048058,62.168827567966694,60.81567871652403,61.21098062818144,6556600.0
2008-01-14,81.58,82.37,80.15,81.67,7732600.0,0.0,1.0,62.01678837117538,62.61734319850106,60.92970811411752,62.08520600973147,7732600.0
2008-01-15,81.46,81.8,76.0,77.86,16467100.0,0.0,1.0,61.92556485310059,62.184031487645825,57.774894780697835,59.18885931085701,16467100.0
2008-01-16,76.95,81.31,76.5,79.87,13292400.0,0.0,1.0,58.497080965456554,61.81153545550712,58.15499277267611,60.71685323860969,13292400.0
2008-01-17,80.95,82.49,79.02,79.52,9303800.0,0.0,1.0,61.53786490128276,62.70856671657584,60.07068665224661,60.45078464422489,9303800.0
2008-01-18,80.25,80.82,77.76,78.4,7686800.0,0.0,1.0,61.00572771251317,61.4390394233684,59.112839712461366,59.599365142193555,7686800.0
2008-01-22,74.99,78.74,74.4,77.6,8503300.0,0.0,1.0,57.00709683690171,59.85783177673878,56.55858120636736,58.991208355028306,8503300.0
